2026-09-23 09:35:13 | INFO     | __main__ | Starting Driver Monitoring System in DEBUG (OpenCV-only) mode.
2026-09-23 09:35:13 | DEBUG    | modules.camera | CameraStream initialized (device_index=0, resolution=1280x720, target_fps=30)
2026-09-23 09:35:13 | INFO     | modules.face_detector | FaceDetector initialized (model_selection=0, min_confidence=0.6)
2026-09-23 09:35:13 | INFO     | modules.face_mesh | FaceMeshDetector initialized (max_faces=1, refine_landmarks=True -> 478 points expected)
2026-09-23 09:35:13 | DEBUG    | modules.eye_detector | EyeLandmarkExtractor initialized (left_idx=[33, 160, 158, 133, 153, 144], right_idx=[362, 385, 387, 263, 373, 380])
2026-09-23 09:35:13 | DEBUG    | modules.mouth_detector | MouthLandmarkExtractor initialized.
2026-09-23 09:35:13 | INFO     | modules.blink_detector | BlinkDetector initialized (ear_threshold=0.21, blink_frames=2, prolonged_frames=15)
2026-09-23 09:35:13 | INFO     | modules.yawn_detector | YawnDetector initialized (mar_threshold=0.55, consec_frames=15)
2026-09-23 09:35:13 | INFO     | modules.head_pose | HeadPoseEstimator initialized with 6-point PnP model.
2026-09-23 09:35:13 | INFO     | modules.fatigue_engine | FatigueEngine initialized (weights: eye=0.40, blink=0.15, yawn=0.25, pose=0.20)
2026-09-23 09:35:14 | INFO     | modules.alarm | AlarmSystem initialized with sound 'assets/alarm.wav'.
2026-09-23 09:35:14 | INFO     | modules.camera | Attempting to open camera device index 0...
2026-09-23 09:35:14 | INFO     | modules.camera | Camera opened successfully. Requested 1280x720@30fps -> Actual 1280x720@30.0fps
2026-09-23 09:35:19 | DEBUG    | modules.blink_detector | Blink #1 confirmed (was closed for 2 frames).
2026-09-23 09:35:21 | DEBUG    | modules.blink_detector | Blink #2 confirmed (was closed for 8 frames).
2026-09-23 09:35:25 | DEBUG    | modules.blink_detector | Blink #3 confirmed (was closed for 2 frames).
2026-09-23 09:35:26 | DEBUG    | modules.blink_detector | Blink #4 confirmed (was closed for 2 frames).
2026-09-23 09:35:32 | DEBUG    | modules.blink_detector | Blink #5 confirmed (was closed for 2 frames).
2026-09-23 09:35:33 | DEBUG    | modules.blink_detector | Blink #6 confirmed (was closed for 2 frames).
2026-09-23 09:35:34 | DEBUG    | modules.blink_detector | Blink #7 confirmed (was closed for 2 frames).
2026-09-23 09:35:35 | DEBUG    | modules.blink_detector | Blink #8 confirmed (was closed for 4 frames).
2026-09-23 09:35:36 | DEBUG    | modules.blink_detector | Blink #9 confirmed (was closed for 5 frames).
2026-09-23 09:35:38 | INFO     | modules.yawn_detector | Yawn #1 confirmed.
2026-09-23 09:35:42 | DEBUG    | modules.blink_detector | Blink #10 confirmed (was closed for 4 frames).
2026-09-23 09:35:44 | DEBUG    | modules.blink_detector | Blink #11 confirmed (was closed for 3 frames).
2026-09-23 09:35:44 | DEBUG    | modules.blink_detector | Blink #12 confirmed (was closed for 2 frames).
2026-09-23 09:35:48 | DEBUG    | modules.blink_detector | Blink #13 confirmed (was closed for 5 frames).
2026-09-23 09:35:49 | DEBUG    | modules.blink_detector | Blink #14 confirmed (was closed for 10 frames).
2026-09-23 09:35:51 | DEBUG    | modules.blink_detector | Blink #15 confirmed (was closed for 2 frames).
2026-09-23 09:35:51 | DEBUG    | modules.blink_detector | Blink #16 confirmed (was closed for 5 frames).
2026-09-23 09:35:58 | DEBUG    | modules.blink_detector | Blink #17 confirmed (was closed for 8 frames).
2026-09-23 09:35:59 | DEBUG    | modules.blink_detector | Blink #18 confirmed (was closed for 6 frames).
2026-09-23 09:36:01 | DEBUG    | modules.blink_detector | Blink #19 confirmed (was closed for 4 frames).
2026-09-23 09:36:10 | INFO     | modules.yawn_detector | Yawn #2 confirmed.
2026-09-23 09:36:10 | DEBUG    | modules.blink_detector | Blink #20 confirmed (was closed for 3 frames).
2026-09-23 09:36:19 | DEBUG    | modules.blink_detector | Blink #21 confirmed (was closed for 2 frames).
2026-09-23 09:36:20 | DEBUG    | modules.blink_detector | Blink #22 confirmed (was closed for 4 frames).
2026-09-23 09:36:20 | DEBUG    | modules.blink_detector | Blink #23 confirmed (was closed for 3 frames).
2026-09-23 09:36:27 | WARNING  | modules.blink_detector | Prolonged eye closure detected (15 consecutive frames below EAR threshold).
2026-09-23 09:36:28 | DEBUG    | modules.blink_detector | Blink #24 confirmed (was closed for 43 frames).
2026-09-23 09:36:38 | DEBUG    | modules.blink_detector | Blink #25 confirmed (was closed for 2 frames).
2026-09-23 09:36:39 | DEBUG    | modules.blink_detector | Blink #26 confirmed (was closed for 2 frames).
2026-09-23 09:37:12 | DEBUG    | modules.blink_detector | Blink #27 confirmed (was closed for 2 frames).
2026-09-23 09:37:36 | DEBUG    | modules.blink_detector | Blink #28 confirmed (was closed for 5 frames).
2026-09-23 09:37:44 | INFO     | __main__ | Quit key pressed. Shutting down.
2026-09-23 09:37:45 | INFO     | modules.camera | Camera device released.
2026-09-23 09:37:45 | INFO     | modules.face_detector | FaceDetector resources released.
2026-09-23 09:37:45 | INFO     | modules.face_mesh | FaceMeshDetector resources released.
2026-09-23 09:37:45 | INFO     | modules.alarm | AlarmSystem shut down.
2026-09-23 09:37:45 | INFO     | __main__ | Debug mode finished cleanly.
2026-09-23 09:45:56 | INFO     | __main__ | Starting Driver Monitoring System in DEBUG (OpenCV-only) mode.
2026-09-23 09:45:56 | DEBUG    | modules.camera | CameraStream initialized (device_index=0, resolution=1280x720, target_fps=30)
2026-09-23 09:45:56 | INFO     | modules.face_detector | FaceDetector initialized (model_selection=0, min_confidence=0.6)
2026-09-23 09:45:56 | INFO     | modules.face_mesh | FaceMeshDetector initialized (max_faces=1, refine_landmarks=True -> 478 points expected)
2026-09-23 09:45:56 | DEBUG    | modules.eye_detector | EyeLandmarkExtractor initialized (left_idx=[33, 160, 158, 133, 153, 144], right_idx=[362, 385, 387, 263, 373, 380])
2026-09-23 09:45:56 | DEBUG    | modules.mouth_detector | MouthLandmarkExtractor initialized.
2026-09-23 09:45:56 | INFO     | modules.blink_detector | BlinkDetector initialized (ear_threshold=0.21, blink_frames=2, prolonged_frames=15)
2026-09-23 09:45:56 | INFO     | modules.yawn_detector | YawnDetector initialized (mar_threshold=0.55, consec_frames=15)
2026-09-23 09:45:56 | INFO     | modules.head_pose | HeadPoseEstimator initialized with 6-point PnP model.
2026-09-23 09:45:56 | INFO     | modules.fatigue_engine | FatigueEngine initialized (weights: eye=0.40, blink=0.15, yawn=0.25, pose=0.20)
2026-09-23 09:45:56 | INFO     | modules.alarm | AlarmSystem initialized with sound 'assets/alarm.wav'.
2026-09-23 09:45:56 | INFO     | modules.camera | Attempting to open camera device index 0...
2026-09-23 09:45:57 | INFO     | modules.camera | Camera opened successfully. Requested 1280x720@30fps -> Actual 1280x720@30.0fps
2026-09-23 09:46:00 | DEBUG    | modules.blink_detector | Blink #1 confirmed (was closed for 3 frames).
2026-09-23 09:46:00 | DEBUG    | modules.blink_detector | Blink #2 confirmed (was closed for 2 frames).
2026-09-23 09:46:00 | DEBUG    | modules.blink_detector | Blink #3 confirmed (was closed for 3 frames).
2026-09-23 09:46:01 | DEBUG    | modules.blink_detector | Blink #4 confirmed (was closed for 3 frames).
2026-09-23 09:46:01 | DEBUG    | modules.blink_detector | Blink #5 confirmed (was closed for 2 frames).
2026-09-23 09:46:01 | DEBUG    | modules.blink_detector | Blink #6 confirmed (was closed for 2 frames).
2026-09-23 09:46:02 | DEBUG    | modules.blink_detector | Blink #7 confirmed (was closed for 2 frames).
2026-09-23 09:46:02 | DEBUG    | modules.blink_detector | Blink #8 confirmed (was closed for 2 frames).
2026-09-23 09:46:02 | DEBUG    | modules.blink_detector | Blink #9 confirmed (was closed for 2 frames).
2026-09-23 09:46:03 | DEBUG    | modules.blink_detector | Blink #10 confirmed (was closed for 2 frames).
2026-09-23 09:46:04 | DEBUG    | modules.blink_detector | Blink #11 confirmed (was closed for 2 frames).
2026-09-23 09:46:04 | DEBUG    | modules.blink_detector | Blink #12 confirmed (was closed for 2 frames).
